,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario
0,1,radiator,EksisterendeOgBT3,,,OMT72,520146,Annen forretningsbygning,Andre,Eldre,3774,0,4,10.733188,59.963944,False,False,False,False,False,False,0,0,False,"[64.44408958 63.27320495 66.50995793 ... 57.97509014 57.5086996
 59.97267816]","[37.17645047 36.66775112 36.55664532 ... 40.81254058 39.69685863
 38.69969046]","[59.0887481  58.18985716 61.73183617 ... 51.4442941  51.61671872
 54.04424723]",[5.35534148 5.08334779 4.77812176 ... 6.53079604 5.89198088 5.92843092],"[37.17645047 36.66775112 36.55664532 ... 40.81254058 39.69685863
 38.69969046]",0,0,0,0,0,0,0,"[101.62054005  99.94095607 103.06660325 ...  98.78763073  97.20555823
  98.67236862]",970500.0,75.0,118.0,451772.4148503546,0,0,518732.8205539068,0,0,0,22.6276480128,0,0,52.460195647199996,0,0,0,37.6282175166,0,0,80.7929005812,0,0,0,Referansesituasjon
1,2,rehab1991Panelovn,EksisterendeOgBT3,,,OMT62,562854,Studenthjem/studentboliger,Hus,Eldre,2012,0,5,10.732332,59.963686,False,False,False,False,False,False,0,0,True,"[30.0964229  27.30717588 26.71996598 ... 30.48789617 29.60708132
 27.55184667]","[19.47387942 19.47387942 19.47387942 ... 19.47387942 19.47387942
 19.47387942]","[48.62206747 45.92929546 46.53886418 ... 46.55648096 45.01377426
 41.61277426]",[4.63141114 4.65552989 4.95472455 ... 4.0171462  3.85167323 3.5152319 ],"[19.47387942 19.47387942 19.47387942 ... 19.47387942 19.47387942
 19.47387942]",0,0,0,0,0,0,0,"[49.57030232 46.7810553  46.1938454  ... 49.96177558 49.08096073
 47.02572609]",309900.0,18.0,18.0,143139.73300584458,0,0,166729.26699415664,0,0,0,0.0,0,0,18.448177663767456,0,0,0,0.0,0,0,18.105638555952144,0,0,0,Referansesituasjon
2,3,rehab2021Panelovn,EksisterendeOgBT3,,,OMT66,562855,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.732333,59.963363,False,False,False,False,False,False,0,0,True,[8.80207798 8.47431686 8.47563847 ... 6.61832543 7.46944706 6.57383098],[7.13794998 7.13794998 7.13794998 ... 7.13794998 7.13794998 7.13794998],"[22.69631141 22.44090654 23.33981213 ... 18.66976402 19.02446677
 17.11952667]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[7.13794998 7.13794998 7.13794998 ... 7.13794998 7.13794998 7.13794998],0,0,0,0,0,0,0,"[15.94002796 15.61226683 15.61358845 ... 13.75627541 14.60739704
 13.71178095]",115000.0,7.0,5.0,53947.90024436054,0,0,61079.099755639414,0,0,0,0.004951754078901693,0,0,7.137949977288927,0,0,0,0.0,0,0,5.4922015471174745,0,0,0,Referansesituasjon
3,4,rehab2021Panelovn,EksisterendeOgBT3,,,OMT64,562856,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731653,59.963381,False,False,False,False,False,False,0,0,True,"[19.47000043 16.1507542  15.66262975 ... 17.22462798 21.22724843
 21.03199866]","[16.45595878 16.45595878 16.45595878 ... 16.45595878 16.45595878
 16.45595878]","[33.36423386 30.11734388 30.5268034  ... 29.27606657 32.78226814
 31.57769435]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],"[16.45595878 16.45595878 16.45595878 ... 16.45595878 16.45595878
 16.45595878]",0,0,0,0,0,0,0,"[35.92595921 32.60671298 32.11858854 ... 33.68058676 37.68320722
 37.48795744]",234400.0,16.0,15.0,92604.90525608274,0,0,141803.0947439164,0,0,0,0.0,0,0,16.010481823190805,0,0,0,0.0,0,0,14.959061766875166,0,0,0,Referansesituasjon
4,5,rehab1991Panelovn,EksisterendeOgBT3,,,OMT58,562857,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.731008,59.963362,False,False,False,False,False,False,0,0,True,"[28.96938357 26.940738   25.72355066 ... 27.34646711 26.53500889
 23.49204054]",[10.0820436 10.0820436 10.0820436 ... 10.0820436 10.0820436 10.0820436],"[42.86361699 40.90732769 40.58772431 ... 39.3979057  38.09002859
 34.03773623]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[10.0820436 10.0820436 10.0820436 ... 10.0820436 10.0820436 10.0820436],0,0,0,0,0,0,0,"[39.05142716 37.0227816  35.80559426 ... 37.42851071 36.61705248
 33.57408413]",225000.0,7.0,10.0,139273.74855561214,0,0,85767.25144438795,0,0,0,0.0,0,0,7.2016917624501255,0,0,0,0.0,0,0,9.737498721059325,0,0,0,Referansesituasjon
5,6,rehab1991Panelovn,EksisterendeOgBT3,,,OMT56,562858,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730362,59.963353,False,False,False,False,False,False,0,0,True,"[30.26422843 29.66788198 28.77336231 ... 24.40015504 25.19528364
 27.38188727]",[10.2873299 10.2873299 10.2873299 ... 10.2873299 10.2873299 10.2873299],"[44.15846185 43.63447167 43.63753596 ... 36.45159363 36.75030334
 37.92758296]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[10.2873299 10.2873299 10.2873299 ... 10.2873299 10.2873299 10.2873299],0,0,0,0,0,0,0,"[40.55155832 39.95521188 39.06069221 ... 34.68748494 35.48261353
 37.66921717]",217800.0,9.0,9.0,129817.38341809102,0,0,87955.61658190853,0,0,0,0.0,0,0,8.647023466138931,0,0,0,0.0,0,0,8.945196689109238,0,0,0,Referansesituasjon
6,7,rehab1991Panelovn,EksisterendeOgBT3,,,OMT52,562859,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730433,59.963675,False,False,False,False,False,False,0,0,True,"[34.8133227  33.71389659 33.51400093 ... 25.1183833  25.1183833
 25.91796593]",[9.96330466 9.96330466 9.96330466 ... 9.96330466 9.96330466 9.96330466],"[48.70755613 47.68048627 48.37817458 ... 37.16982189 36.673403
 36.46366162]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[9.96330466 9.96330466 9.96330466 ... 9.96330466 9.96330466 9.96330466],0,0,0,0,0,0,0,"[44.77662737 43.67720125 43.47730559 ... 35.08168796 35.08168796
 35.88127059]",209800.0,8.0,9.0,124228.14773984265,0,0,85548.85226015806,0,0,0,0.0,0,0,7.995826315651581,0,0,0,0.0,0,0,9.495043749836253,0,0,0,Referansesituasjon
7,8,rehab1991Panelovn,EksisterendeOgBT3,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,False,False,False,False,False,False,0,0,True,"[17.81004766 15.31407618 14.02151952 ... 14.64551239 15.84892721
 16.91862928]",[8.39765291 8.39765291 8.39765291 ... 8.39765291 8.39765291 8.39765291],"[31.70428109 29.28066587 28.88569317 ... 26.69695098 27.40394692
 27.46432497]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[8.39765291 8.39765291 8.39765291 ... 8.39765291 8.39765291 8.39765291],0,0,0,0,0,0,0,"[26.20770058 23.71172909 22.41917243 ... 23.0431653  24.24658013
 25.31628219]",162400.0,8.0,7.0,90478.7984644371,0,0,71872.20153556277,0,0,0,0.0,0,0,7.844481805513301,0,0,0,0.0,0,0,6.596496063727095,0,0,0,Referansesituasjon
8,9,rehab2021Panelovn,EksisterendeOgBT3,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,False,False,False,False,False,False,0,0,True,"[11.10474774  9.21161002  8.93320742 ...  9.82409575 12.10699711
 11.99563607]",[9.38568398 9.38568398 9.38568398 ... 9.38568398 9.38568398 9.38568398],"[24.99898116 23.17819971 23.79738107 ... 21.87553435 23.66201682
 22.54133177]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[9.38568398 9.38568398 9.38568398 ... 9.38568398 9.38568398 9.38568398],0,0,0,0,0,0,0,"[20.49043171 18.597294   18.3188914  ... 19.20977973 21.49268109
 21.38132005]",133700.0,9.0,9.0,52817.36463009618,0,0,80877.63536989904,0,0,0,0.0,0,0,9.13160543732051,0,0,0,0.0,0,0,8.531926226589158,0,0,0,Referansesituasjon
9,10,radiator,EksisterendeOgBT3,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,False,False,False,False,False,False,0,0,True,[2.38838887 2.38838887 2.38838887 ... 0.         0.         0.        ],[4.29603054 4.29603054 4.29603054 ... 4.09690222 2.37189076 2.58751719],"[18.26751278 18.35020565 19.3760159  ... 13.77307268 13.2057368
 12.05222365]",[3.96978098 3.9904542  4.24690676 ... 3.44326817 3.3014342  3.01305591],[4.29603054 4.29603054 4.29603054 ... 4.09690222 2.37189076 2.58751719],0,0,0,0,0,0,0,[6.68441941 6.68441941 6.68441941 ... 4.09690222 2.37189076 2.58751719],50800.0,7.0,2.0,16829.440481896872,0,0,33969.55951810325,0,0,0,2.6040152988597036,0,0,4.296030543882729,0,0,0,0.0,0,0,1.5093850280999068,0,0,0,Referansesituasjon
